,Aciertos,Fallos,Porcentaje de acierto,Num Pixeles
Citricos Frutal,55062,39882,57.994,94944
Citricos,652120,285683,69.537,937803
Citricos-Frutal de cascara,434,762,36.288,1196
Citricos-Viñedo,77,197,28.102,274
Frutal de Cascara-Frutal,942,5860,13.849,6802
Frutal de Cascara-Olivar,55860,140465,28.453,196325
Frutal de Cascara,520785,1169308,30.814,1690093
Frutal de Cascara-Viñedo,487,1310,27.101,1797
Frutal,1279687,2557031,33.354,3836718
Invernadero y cultivos bajo plastico,11442,81995,12.246,93437
Olivar-Citricos,5530,5111,51.969,10641
Olivar-Frutal,9311,27102,25.571,36413
Olivar,7850621,5927193,56.98,13777814
Tierra Arable,6908432,2169016,76.105,9077448
Huerta,118231,119761,49.679,237992
Frutal-Viñedo,9937,18747,34.643,28684
Viñedo,135772,133648,50.394,269420
Olivar-Viñedo,31198,66822,31.828,98020
